Application_ID,Age,Gender,Education,Employment_Type,Income_Group,Credit_Group,Existing_Loan,Loan_Amount_Group,Loan_Status
LN0001,59,Male,Not Graduate,Other,Medium,Poor,Yes,Large,Rejected
LN0002,49,Female,Not Graduate,Salaried,Low,Fair,No,Large,Approved
LN0003,35,Female,Graduate,Business,Low,Good,No,Large,Rejected
LN0004,28,Male,Graduate,Business,Low,Good,No,Medium,Rejected
LN0005,41,Male,Graduate,Salaried,Low,Poor,No,Small,Approved
LN0006,59,Male,Not Graduate,Salaried,Medium,Fair,No,Small,Approved
LN0007,39,Male,Graduate,Salaried,Low,Good,Yes,Small,Rejected
LN0008,43,Female,Graduate,Business,High,Fair,Yes,Medium,Rejected
LN0009,31,Male,Graduate,Other,Medium,Poor,Yes,Large,Rejected
LN0010,31,Male,Graduate,Business,Low,Good,Yes,Medium,Approved
LN0011,44,Male,Not Graduate,Business,Medium,Good,No,Small,Approved
LN0012,56,Male,Not Graduate,Self-Employed,High,Poor,No,Medium,Rejected
LN0013,60,Male,Graduate,Business,Medium,Good,No,Large,Rejected
LN0014,44,Female,Not Graduate,Business,Low,Excellent,Yes,Medium,Approved
LN0015,23,Male,Graduate,Salaried,High,Good,Yes,Large,Rejected
LN0016,42,Female,Graduate,Self-Employed,Medium,Good,No,Large,Rejected
LN0017,22,Male,Graduate,Business,Low,Excellent,Yes,Large,Rejected
LN0018,44,Male,Graduate,Salaried,Low,Excellent,No,Medium,Rejected
LN0019,50,Male,Graduate,Business,Medium,Good,No,Medium,Approved
LN0020,58,Female,Not Graduate,Salaried,Low,Fair,No,Small,Rejected
LN0021,22,Female,Graduate,Self-Employed,High,Good,No,Small,Rejected
LN0022,41,Male,Not Graduate,Business,Medium,Good,No,Medium,Approved
LN0023,53,Male,Graduate,Salaried,High,Fair,Yes,Small,Approved
LN0024,32,Female,Graduate,Salaried,Medium,Fair,No,Large,Rejected
LN0025,42,Male,Graduate,Salaried,Low,Good,Yes,Small,Approved
LN0026,45,Male,Graduate,Business,Low,Good,Yes,Large,Approved
LN0027,47,Female,Graduate,Salaried,Medium,Fair,No,Medium,Rejected
LN0028,48,Male,Not Graduate,Other,Medium,Good,No,Small,Approved
LN0029,36,Male,Graduate,Salaried,Medium,Poor,Yes,Large,Rejected
LN0030,35,Male,Graduate,Other,Low,Fair,No,Medium,Rejected
LN0031,23,Male,Graduate,Other,Low,Good,No,Medium,Approved
LN0032,57,Male,Graduate,Self-Employed,Low,Fair,No,Small,Rejected
LN0033,27,Female,Graduate,Self-Employed,Medium,Fair,No,Medium,Rejected
