Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,State,Category,Sub_Category,Product,Quantity,Unit_Price,Sales,Discount,Profit,Shipping_Mode,Payment_Mode,Customer_Rating,Delivery_Days,Returned
ORD100064,2025-08-05,CUST01529,Consumer,East,West Bengal,Technology,Accessories,Keyboard,5,2046.74,8804.09,0.14,1278.64,Standard,Credit Card,3.5,6,No
ORD102684,2025-03-30,CUST01447,Small Business,South,Telangana,Technology,Accessories,Keyboard,1,1071.21,1087.05,0.043,102.89,Express,UPI,4.4,2,No
ORD100103,2023-10-15,CUST01269,Consumer,West,Rajasthan,Technology,Phones,Smartphone A,1,837.83,861.43,0.129,84.86,Express,COD,4.5,2,No
ORD102692,2025-05-10,CUST01064,Consumer,South,Andhra Pradesh,Technology,Phones,Smartphone A,10,2305.26,24012.01,0.017,4348.11,Same Day,COD,5.0,1,No
ORD100417,2025-04-08,CUST01256,Consumer,East,Bihar,Furniture,Chairs,Ergonomic Chair,5,1065.95,4583.0,0.189,349.53,Express,Credit Card,4.6,4,No
ORD101265,2024-04-29,CUST01036,Small Business,South,Telangana,Furniture,Furnishings,Curtains,2,315.71,573.0,0.144,75.22,Standard,UPI,3.3,7,No
ORD100094,2023-01-16,CUST01177,Corporate,South,Tamil Nadu,Office Supplies,Storage,Filing Cabinet,9,127.29,1097.39,0.042,271.92,Express,Net Banking,3.9,3,No
ORD101539,2024-07-30,CUST01055,Corporate,North,Uttar Pradesh,Furniture,Bookcases,Wooden Bookcase,1,950.47,819.02,0.138,77.89,Standard,Credit Card,3.9,9,No
ORD100568,2023-06-29,CUST01527,Small Business,North,Uttar Pradesh,Office Supplies,Storage,Storage Box,2,187.85,346.42,0.078,97.18,Standard,UPI,3.7,3,No
ORD101042,2024-05-25,CUST01585,Small Business,West,Goa,Office Supplies,Storage,Storage Box,3,999.39,2876.81,0.095,637.41,Express,UPI,4.2,3,No
ORD101403,2023-09-19,CUST01386,Consumer,West,Maharashtra,Technology,Printers,Laser Printer,4,1158.67,4275.67,0.077,521.34,Standard,Net Banking,3.6,6,No
ORD100323,2025-04-07,CUST01532,Consumer,North,Uttar Pradesh,Technology,Laptops,Business Laptop,2,1387.99,2433.34,0.173,243.91,Standard,COD,4.1,4,No
ORD102298,2025-11-25,CUST01552,Corporate,East,West Bengal,Technology,Printers,Inkjet Printer,7,2039.17,12627.33,0.25,-162.19,Express,Credit Card,4.2,3,No
ORD101125,2025-10-09,CUST01599,Corporate,West,Gujarat,Technology,Printers,Laser Printer,1,379.05,335.81,0.249,-25.09,Standard,Credit Card,3.9,7,Yes
ORD100602,2023-10-30,CUST01023,Consumer,West,Goa,Office Supplies,Paper,A4 Paper,1,184.8,159.72,0.268,30.87,Same Day,Credit Card,3.9,1,No
ORD100742,2023-11-17,CUST01330,Corporate,West,Rajasthan,Furniture,Bookcases,Metal Bookcase,1,276.04,263.75,0.19,40.14,Express,COD,5.0,1,No
ORD101128,2025-02-14,CUST01346,Corporate,East,Odisha,Furniture,Tables,Study Table,2,557.99,1002.91,0.101,235.66,Standard,UPI,4.9,3,No
ORD101103,2025-06-11,CUST01307,Consumer,West,Rajasthan,Office Supplies,Binders,Document Folder,4,149.26,390.37,0.346,13.75,Standard,UPI,4.6,3,Yes
ORD101492,2024-10-09,CUST01091,Consumer,West,Goa,Office Supplies,Binders,Document Folder,7,83.63,437.84,0.366,46.36,Standard,Credit Card,4.1,4,No
ORD100045,2023-01-09,CUST01299,Consumer,East,Jharkhand,Office Supplies,Stationery,Labels,3,79.46,225.96,0.052,54.38,Standard,UPI,2.3,9,No
